recruit_rank,games_played,ft_pct,free_throw_rate,fg2_pct,fg3m,fg3_pct,ts_pct,rim_shot_ratio,mid_fg_made,mid_shot_ratio,dunks_made,dunk_rate,usage_pct,porpag,personal_foul_rate,ast_tov_ratio,off_box_plus_minus,def_box_plus_minus,off_game_box_plus_minus,def_game_box_plus_minus,assists,steals,offensive_rebounds,defensive_rebounds,drb_pct,ast_pct,tov_pct,stl_pct,height_in_cm
55.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5568,4.0,0.3158,0.0,1.0,0.0,-0.324593,0.0,0.71435875,-2.40601,-1.28863,-6.29095,-4.56822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.6
55.7,25.0,0.686,49.3,0.423,0.0,0.0,47.93,0.4783,19.0,0.3958,1.0,1.0,17.4,-0.207862,7.1,0.22222221,-4.54314,-1.35599,-6.51396,-0.704403,0.24,0.24,0.56,0.76,6.3,3.3,26.2,1.0,210.8
55.7,31.0,0.789,57.7,0.405,13.0,0.289,50.11,0.4479,25.0,0.3472,0.0,1.0,21.1,1.15985,5.5,1.5555161,-0.417938,-0.345493,-2.46187,0.805972,3.0625,1.5312,0.4062,1.5625,6.5,22.5,20.6,3.2,182.9
55.7,25.0,1.0,6.5,0.438,13.0,0.283,44.6,0.5,4.0,0.4,0.0,0.0,18.0,0.166292,7.2,0.5,-2.3582,-2.31336,-2.76698,-1.70788,0.12,0.08,0.36,1.04,17.1,3.6,11.0,0.7,208.3
87.4,32.0,0.709,31.3,0.395,29.0,0.322,46.54,0.5,31.0,0.3039,6.0,0.8571,20.8,0.725013,4.6,0.8447884,-1.02868,1.87424,-2.49383,2.45022,1.4848,1.3939,0.4545,1.9697,8.5,11.5,18.7,3.0,190.5
55.7,28.0,0.8,23.8,0.571,62.0,0.466,68.98,0.5568,4.0,0.3158,0.0,1.0,18.6,1.80087,5.7,0.77495456,1.30276,-0.891731,1.20601,-0.855326,1.1071,0.3929,0.25,2.3571,13.0,10.8,20.4,1.0,205.7
55.7,19.0,0.5,24.1,0.459,6.0,0.286,45.63,0.6087,3.0,0.2143,1.0,1.0,15.4,-0.647328,3.4,0.8823965,-5.94063,-1.35237,-4.97379,-1.05306,0.7143,0.1905,0.0952,1.6667,15.5,11.0,22.6,0.9,198.1
65.0,32.0,0.614,30.9,0.427,39.0,0.371,49.93,0.5472,41.0,0.3694,0.0,1.0,20.5,2.34847,2.6,2.4865324,3.27342,1.06084,2.30773,2.17771,2.7879,1.62466,0.5152,2.3333,10.7,19.7,12.3,4.0,185.4
65.6,6.0,0.0,11.1,1.0,0.0,0.0,21.11,1.0,1.0,1.0,0.0,1.0,16.5,-1.11097,1.8,0.600024,-7.18594,3.3115,-8.24685,0.163817,0.5,0.1667,0.3333,1.1667,17.2,10.4,38.2,1.3,203.2
55.7,7.0,0.0,66.7,0.333,0.0,0.0,25.32,0.0,1.0,0.5,0.0,1.0,12.4,-0.232608,5.0,0.71435875,-9.02514,-7.3575,-7.02246,-4.06393,0.0,0.0,0.4444,0.4444,23.0,0.0,0.0,0.0,195.6
80.4,11.0,0.5,30.8,0.583,1.0,1.0,63.76,0.5455,1.0,1.0,1.0,1.0,13.8,0.558712,3.9,0.6666666,-0.049854,-1.23683,0.760881,-2.19434,0.1818,0.0,0.8182,1.3636,25.4,5.0,17.6,0.0,208.3
58.2,33.0,0.642,42.1,0.49,8.0,0.308,51.6,0.5568,4.0,0.3158,0.0,1.0,18.3,0.721696,4.9,1.11537,0.58328,2.29405,-1.03975,2.43615,1.7576,0.8182,0.7273,2.5152,16.0,16.4,27.8,2.6,190.5
55.7,33.0,0.667,25.0,0.457,8.0,0.211,42.56,0.5882,11.0,0.3793,0.0,1.0,16.7,0.0518265,5.7,1.1904463,-1.19911,1.36824,-4.00167,2.91281,0.7576,0.6061,0.1818,0.4545,5.0,14.0,21.8,3.5,177.8
55.7,31.0,0.542,38.7,0.542,1.0,0.333,54.5,0.6889,1.0,0.0714,0.0,1.0,13.2,1.02964,4.9,2.845732,0.807957,-0.166786,-0.444874,0.112929,1.1935,0.6452,0.9677,1.6452,15.9,15.4,14.4,2.9,193.0
74.2,22.0,0.786,27.5,0.414,2.0,0.091,35.56,0.3684,5.0,0.5,0.0,1.0,15.8,0.0200767,4.0,1.5556098,-0.692309,-2.79878,-3.53691,-1.89413,0.6364,0.3182,0.3636,0.2727,3.6,11.9,17.2,2.1,182.9
55.7,7.0,0.0,0.0,0.5,0.0,0.0,40.0,1.0,1.0,0.3333,0.0,1.0,19.6,0.038636,7.3,0.71435875,-1.3979,-5.95627,-6.54466,-3.83155,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,198.1
55.7,17.0,0.824,141.7,0.417,0.0,0.0,59.78,0.5,0.0,0.0,0.0,1.0,16.5,0.340278,9.4,0.0,-2.92118,-1.42542,-4.25208,2.41086,0.0,0.0,0.4706,0.7647,16.3,0.0,21.1,0.0,213.4
55.7,26.0,0.615,23.6,0.431,26.0,0.289,45.36,0.5254,25.0,0.3521,0.0,1.0,19.2,0.275547,2.4,0.90196276,-1.6012,-1.15234,-2.06044,-0.988867,1.7692,1.0,0.7692,2.0769,8.7,13.8,20.9,2.1,193.0
60.8,32.0,0.644,43.7,0.57,15.0,0.283,55.04,0.622,14.0,0.4375,13.0,0.9286,26.3,1.2624,4.3,0.7254361,0.674156,-0.454915,0.484538,-0.573923,1.1562,0.5312,0.7188,1.25,9.0,15.9,22.7,2.0,195.6
55.7,25.0,0.75,21.1,0.333,5.0,0.25,39.47,0.5,4.0,0.2857,0.0,1.0,16.5,-0.126439,5.0,1.0,-3.21148,-5.41127,-4.74606,-3.48004,0.32,0.2,0.12,0.2,4.2,11.4,20.1,2.1,185.4
55.7,11.0,0.0,22.2,0.444,0.0,0.0,40.2,0.6,1.0,0.25,1.0,1.0,25.8,-0.367079,3.4,0.0,-16.9859,4.3236,-10.5961,1.55992,0.0,0.0909,0.2727,0.8182,31.3,0.0,46.0,1.7,203.2
55.7,31.0,0.667,24.6,0.68,0.0,0.0,68.26,0.7573,5.0,0.2778,30.0,0.9273,12.3,1.4012,5.3,0.5429002,-0.0224197,6.32297,-0.160806,3.83856,0.5758,0.7273,2.0,4.1515,19.3,4.8,20.8,1.8,203.2
55.7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3158,0.0,1.0,17.0,-0.371854,0.0,0.0,-21.6644,-2.93447,-15.4931,-5.96603,0.0,0.1111,0.0,0.2222,23.2,0.0,72.7,0.0,190.5
55.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5568,0.0,0.0,0.0,1.0,25.2,-0.399848,0.0,0.0,-22.727718,-4.93065,-19.4818,-9.62846,0.0,0.0,0.0,0.3333,31.0,0.0,58.6,0.0,182.9
40.0,28.0,0.72,12.1,0.42,38.0,0.302,45.69,0.5568,4.0,0.3158,0.0,1.0,17.0,0.781678,2.6,1.4584062,-0.102163,-2.41195,-0.343963,-2.10351,1.25,0.7857,1.0357,2.0,10.0,11.2,11.8,1.8,195.6
47.8,29.0,0.839,32.3,0.422,35.0,0.321,51.25,0.525,14.0,0.3256,6.0,1.0,16.7,1.91611,3.6,1.8182191,2.842,1.64504,1.0277,2.20504,1.3333,0.9,0.8,2.1,10.0,11.6,10.2,2.3,190.5
28.4,30.0,0.361,45.6,0.418,0.0,0.0,41.1,0.4571,17.0,0.3864,4.0,0.8,20.8,-0.0749257,3.8,0.2500375,-4.88299,-0.417424,-3.41143,-0.783538,0.1667,0.2667,0.8667,1.2667,14.9,3.7,19.9,1.7,203.2
55.7,28.0,0.647,38.6,0.188,10.0,0.357,45.13,0.2143,0.0,0.0,0.0,1.0,9.4,-0.288623,3.3,1.300196,-2.53603,0.0833783,-3.21312,0.158914,0.4643,0.1786,0.5,0.8214,7.5,7.8,18.1,0.9,190.5
73.0,20.0,0.556,90.0,0.4,0.0,0.0,45.53,0.6667,0.0,0.0,0.0,1.0,11.7,-0.404636,7.1,0.125,-5.47674,0.472188,-7.11271,-0.0588885,0.05,0.1,0.3,0.55,11.6,1.6,37.2,1.1,208.3
55.7,20.0,0.5,45.5,0.286,3.0,0.2,33.64,0.5568,4.0,0.3158,0.0,1.0,19.2,-0.177405,3.0,0.75,-4.58207,-4.08579,-4.89544,-3.23754,0.15,0.1,0.05,0.2,6.4,8.2,16.1,1.6,188.0
26.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5568,4.0,0.3158,0.0,1.0,0.0,-0.328256,0.0,0.0,-3.73017,-1.63288,-4.09048,-1.55367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.5
61.6,30.0,0.771,26.2,0.487,42.0,0.4,58.07,0.675,11.0,0.2895,7.0,0.875,18.4,2.29715,2.2,0.9258889,4.06498,-1.09799,5.21379,-0.549628,0.8333,0.5667,1.1333,1.3,7.9,9.6,14.8,1.7,190.5
55.7,21.0,0.333,38.7,0.667,5.0,0.2,36.78,1.0,3.0,0.6,1.0,1.0,15.4,-0.268114,4.2,1.1666083,-2.09062,-2.24287,-4.10144,-1.44495,0.3333,0.1429,0.1905,0.4762,8.3,9.4,17.1,1.3,195.6
55.7,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5568,4.0,0.3158,0.0,1.0,0.0,-0.483587,4.4,0.71435875,-2.90817,-1.27947,-8.00985,-2.77696,0.0,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,190.5
55.7,33.0,0.667,33.3,0.43,20.0,0.317,47.96,0.4878,17.0,0.3333,0.0,1.0,16.7,-0.0165228,3.3,0.8297992,-2.59072,-1.32532,-1.6373,-1.34815,1.1818,0.6364,0.5758,2.2121,11.7,9.9,20.2,1.5,188.0
20.6,28.0,0.429,19.4,0.444,0.0,0.0,44.5,0.5455,4.0,0.2857,0.0,1.0,10.2,-0.591214,6.3,0.3572,-5.89081,-0.0459659,-5.53915,-0.918941,0.1786,0.1786,0.7143,1.6786,19.0,3.2,28.0,1.0,205.7
55.7,28.0,0.744,33.9,0.41,26.0,0.321,48.23,0.5568,4.0,0.3158,0.0,1.0,24.9,1.06219,2.7,0.72057974,-1.51948,-1.78224,-0.519084,-1.58696,1.75,0.6786,1.2143,2.0357,9.9,16.1,24.0,1.7,185.4
97.0,34.0,0.579,52.8,0.452,1.0,0.2,46.64,0.6471,3.0,0.2143,6.0,1.0,11.7,-0.19649,5.6,0.5,-2.21657,3.43735,-3.44748,2.60395,0.2059,0.1471,0.4118,0.6176,9.2,4.4,27.0,1.1,203.2
