drafted_prob,height_in_cm,recruit_rank,games_played,ft_pct,free_throw_rate,fg2_pct,fg3m,fg3_pct,ts_pct,rim_shot_ratio,mid_fg_made,mid_shot_ratio,dunks_made,dunk_rate,usage_pct,porpag,personal_foul_rate,ast_tov_ratio,off_box_plus_minus,def_box_plus_minus,off_game_box_plus_minus,def_game_box_plus_minus,assists,steals,offensive_rebounds,defensive_rebounds,drb_pct,ast_pct,tov_pct,stl_pct
0.7424432,195.6,99.2,31.0,0.77,33.8,0.502,68.0,0.291,51.73,0.6899,37.0,0.3033,27.0,1.0,28.8,3.4790213,2.7,1.0459762,3.54189,0.423291,4.38554,0.542943,2.8438,1.3438,0.75,4.4688,14.5,17.9,15.4,2.3
0.73081017,190.5,98.2,31.0,0.833,34.2,0.492,33.0,0.292,53.06,0.6514,46.0,0.3566,7.0,0.7,22.1,3.0618,2.8,1.4477398,2.79154,1.31842,1.94246,1.48845,3.129,0.871,0.3871,3.9032,12.1,18.3,16.6,1.5
0.68086433,190.5,99.2,22.0,0.75,37.1,0.402,49.0,0.348,50.15,0.5362,45.0,0.3333,3.0,1.0,29.0,3.44623,3.3,1.1298572,2.6166,0.604996,2.96996,1.3629,3.9545,1.3182,0.4545,4.9655,16.4,23.9,19.6,2.1
0.5331901,208.3,99.0,31.0,0.67,63.2,0.59,8.0,0.381,61.53,0.6518,30.0,0.3896,30.0,0.9216,30.3,3.4790213,4.4,0.47616002,3.88623,2.78538,7.11928,2.83006,0.9677,0.7097,2.64691,4.9655,26.2,8.3,14.7,1.6
0.50094026,190.5,98.4,32.0,0.797,36.1,0.447,53.0,0.327,52.07,0.5405,52.0,0.3939,3.0,1.0,24.8,3.43452,2.1,2.060956,3.30235,0.302569,3.01796,1.32216,4.18717,1.1875,0.25,2.25,7.8,31.5,18.2,2.1
0.47833666,198.1,97.6,30.0,0.78,38.0,0.446,30.0,0.361,52.69,0.64,30.0,0.2778,24.0,0.9231,20.5,2.91643,3.2,1.5918692,2.95545,3.77202,2.13563,3.56663,2.6,1.5333,1.3,3.2667,11.9,16.0,14.7,2.8
0.4522777,205.7,99.2,32.0,0.774,59.1,0.59,5.0,0.25,62.92,0.6943,53.0,0.4274,26.0,0.8667,24.2,3.4790213,3.2,0.38029566,2.51482,3.20774,4.53945,2.10481,0.8438,0.5312,2.64691,4.9655,19.4,6.3,16.1,0.9
0.4515206,213.4,99.2,3.0,0.704,103.8,0.8,0.0,0.0,75.98,0.8947,3.0,0.5,9.0,0.9,26.8,3.4790213,2.9,0.3333,8.52557,5.28375,11.923771,5.31168,0.3333,0.3333,2.64691,4.9655,26.5,4.4,8.8,0.8
0.44591263,205.7,98.6,31.0,0.763,33.9,0.445,43.0,0.339,51.52,0.5588,55.0,0.3901,16.0,0.8,25.2,1.89095,4.3,0.6399963,-0.561201,2.75333,-0.25085,1.7085,2.0645,0.7742,1.0968,4.6774,15.7,14.4,23.4,1.4
0.37300006,205.7,97.2,31.0,0.599,50.7,0.514,13.0,0.325,53.4,0.6407,21.0,0.2143,30.0,0.9038,27.2,2.59546,3.1,0.3448067,-0.850593,4.78591,2.18189,2.94998,0.9677,1.0968,2.64691,4.9655,24.7,7.5,18.6,2.0
0.34696585,205.7,97.0,31.0,0.814,39.0,0.497,21.0,0.328,55.24,0.6198,17.0,0.2656,16.0,0.8889,19.8,2.91515,2.8,0.8823798,1.60406,3.98042,1.81325,2.55705,1.9355,1.129,2.5484,4.9655,23.2,11.2,20.2,2.0
0.23261772,195.6,98.8,30.0,0.798,44.7,0.48,22.0,0.361,55.95,0.5797,21.0,0.3621,9.0,1.0,15.4,2.12964,3.1,0.67651993,2.195,4.28653,2.0347,3.3629,0.7667,1.2,1.0,2.6,10.6,4.9,15.4,2.5
0.22988497,193.0,93.8,27.0,0.641,23.2,0.451,60.0,0.426,54.42,0.5253,36.0,0.3789,5.0,0.5556,24.7,3.1256,2.8,1.1111,3.00104,2.2579,3.79178,1.93752,2.2222,1.3333,0.7407,3.2593,12.3,16.1,15.2,2.5
0.16162422,213.4,91.0,30.0,0.669,58.0,0.535,0.0,0.0,56.96,0.6879,28.0,0.2745,30.0,0.9459,25.1,3.4790213,3.8,0.339008,1.99926,2.7844,3.63682,1.76442,0.6452,0.5484,2.64691,4.9655,21.6,4.9,16.3,1.1
0.15074538,210.8,92.2,32.0,0.76,63.7,0.586,5.0,0.294,62.96,0.6614,49.0,0.4537,30.0,0.8947,24.1,3.4790213,3.1,0.38573715,2.73535,2.70195,4.90534,1.9306,0.8438,0.7188,2.64691,4.9655,20.4,5.8,16.9,1.3
0.14453608,205.7,95.2,28.0,0.72,50.2,0.623,1.0,0.25,64.6,0.7258,39.0,0.4149,30.0,0.9508,23.4,3.4790213,3.5,0.5357,4.11973,7.30689,6.17366,4.70968,1.0714,1.2143,2.64691,4.9655,18.4,8.4,15.9,2.3
0.13700712,188.0,93.4,20.0,0.759,36.2,0.528,24.0,0.4,59.26,0.6545,7.0,0.2414,8.0,0.8,25.2,2.39416,3.2,1.1153847,2.70063,1.72938,3.35261,1.88709,2.9,0.65,0.5,2.3,10.7,26.5,25.9,1.6
0.13573356,208.3,94.8,32.0,0.645,51.0,0.469,0.0,0.0,51.01,0.6,27.0,0.2755,27.0,0.9,22.4,2.05854,4.1,0.70909935,0.342086,3.00814,1.48877,1.49941,1.2188,0.5,2.64691,4.9655,24.7,10.0,17.9,1.2
0.10611336,205.7,94.0,31.0,0.708,64.9,0.554,0.0,0.0,59.92,0.6299,26.0,0.3768,27.0,0.871,23.5,3.41851,4.7,0.20752178,3.12075,3.68836,5.51641,2.93562,0.3548,0.7419,2.64691,4.9655,25.7,3.4,18.0,1.9
0.09086681,208.3,96.2,31.0,0.521,46.1,0.516,8.0,0.286,50.87,0.6447,16.0,0.32,8.0,0.7273,19.0,0.728999,4.3,0.6382824,-0.926192,3.64138,-0.975527,3.04351,0.9677,0.6452,1.5484,3.7419,19.4,9.4,22.4,1.8
0.07098554,198.1,92.8,29.0,0.733,38.9,0.527,31.0,0.36,56.9,0.5865,19.0,0.3725,30.0,0.9697,21.3,2.85809,3.2,0.5555556,2.93242,1.19853,3.09764,1.03181,1.0345,0.6897,1.8621,3.0,11.7,6.6,17.4,1.4
0.06856538,198.1,93.0,28.0,0.672,54.9,0.603,20.0,0.286,58.51,0.6779,4.0,0.16,19.0,0.8261,20.0,3.22455,3.5,1.0363488,3.48115,2.26658,3.26188,2.03186,2.0357,0.9286,1.8929,2.5357,8.8,13.1,17.6,1.7
0.06719232,205.7,96.6,31.0,0.674,41.1,0.547,18.0,0.269,54.86,0.6772,53.0,0.4173,10.0,0.9091,23.1,2.957,2.7,0.64634055,2.30337,0.467129,2.51019,0.104264,1.7097,0.9032,2.129,4.9655,16.9,9.9,20.5,1.6
0.05766838,203.2,95.0,29.0,0.838,35.6,0.5,16.0,0.32,55.11,0.6235,26.0,0.3611,25.0,0.7813,21.9,1.94744,2.9,0.58001274,0.777642,3.99912,1.7043,2.75795,1.0,1.0,1.2759,2.6897,13.9,8.4,20.2,2.6
0.04128568,205.7,94.2,32.0,0.685,59.8,0.566,0.0,0.0,60.01,0.6583,28.0,0.3415,30.0,0.9608,21.7,3.4790213,2.7,0.88091433,4.01011,5.39394,5.53581,3.27016,1.1562,0.6875,2.64691,4.9655,21.0,8.5,11.9,1.4
0.035241,205.7,97.8,31.0,0.741,23.9,0.571,42.0,0.393,60.0,0.6707,13.0,0.3514,8.0,1.0,19.4,2.89528,3.6,1.0,5.47754,1.33794,5.2956,1.35403,0.871,0.4516,1.5484,2.2258,11.6,7.6,11.9,1.2
0.03428641,200.7,89.6,19.0,0.743,21.9,0.555,16.0,0.39,58.32,0.726,13.0,0.2826,23.0,0.8846,18.5,1.89623,3.9,0.84851456,0.736327,3.81599,1.20779,3.09544,1.4737,0.7368,1.0,3.3158,11.8,11.8,18.9,1.5
0.028582834,208.3,91.6,33.0,0.611,52.2,0.623,1.0,0.333,62.52,0.6861,33.0,0.4925,7.0,0.7778,21.7,2.89349,5.4,1.0749937,4.26078,2.87157,3.42177,2.14836,1.303,0.5152,2.0,3.3636,17.8,10.6,15.0,1.4
0.027034821,210.8,79.4,29.0,0.486,37.4,0.657,0.0,0.0,63.48,0.7108,6.0,0.375,30.0,0.7907,12.8,1.76571,5.5,0.47065848,1.34026,7.866778,1.06129,5.05353,0.2759,0.4483,1.7241,2.3103,13.7,2.6,14.0,1.4
0.021494247,198.1,91.4,31.0,0.718,55.6,0.52,5.0,0.192,53.78,0.5342,24.0,0.5106,13.0,0.8125,22.0,1.63289,4.6,0.48273647,0.565393,4.00434,0.912935,2.90318,0.4516,0.4194,1.129,2.6774,17.9,5.8,15.3,1.5
0.015595752,198.1,95.8,27.0,0.778,24.5,0.371,29.0,0.367,48.69,0.5143,21.0,0.3,6.0,0.75,19.0,0.686531,3.5,1.161763,-0.513886,2.95959,0.0481554,2.52472,2.9259,0.8519,1.037,4.4815,17.8,20.8,27.7,1.8
0.012364496,193.0,88.6,31.0,0.714,18.7,0.441,61.0,0.396,53.9,0.5,22.0,0.3607,1.0,1.0,20.6,2.13108,2.1,1.0545598,1.23402,1.05545,1.29218,1.09485,1.871,0.7097,0.2581,2.8387,10.6,12.4,17.2,1.4
0.0119118,210.8,89.8,27.0,0.636,28.9,0.596,7.0,0.292,56.1,0.7568,3.0,0.2,22.0,0.9167,13.2,0.553901,4.7,0.43479285,-0.872178,5.91948,-0.597038,4.16335,0.3704,0.5185,1.0,2.2222,15.8,4.3,23.3,1.9
0.011771251,208.3,86.2,12.0,0.545,64.7,0.353,0.0,0.0,40.49,0.375,3.0,0.3,0.0,0.0,24.1,0.110585,6.8,0.2500375,-6.50315,2.84773,-4.85502,2.43192,0.1667,0.1667,0.8333,2.4167,28.3,3.7,17.7,1.1
0.011484626,213.4,79.8,30.0,0.622,27.4,0.576,3.0,0.231,56.91,0.6848,24.0,0.4068,30.0,0.925,18.5,1.3755,4.1,0.5750394,-0.732851,3.38937,-0.280999,2.08039,0.7667,0.3333,1.4,2.4667,13.3,7.9,20.4,0.9
0.008166748,208.3,91.2,30.0,0.394,39.8,0.614,0.0,0.0,58.27,0.75,6.0,0.2609,26.0,0.8667,14.7,1.28813,5.8,0.3888333,1.90377,4.4201,0.414539,2.53857,0.2333,0.2667,1.8,1.7667,13.8,3.0,16.3,1.1
0.007274022,210.8,97.4,12.0,0.4,29.4,0.627,0.0,0.0,60.22,0.8,8.0,0.381,8.0,1.0,21.9,1.40275,7.4,0.63630414,2.21422,4.16633,0.00514263,3.28404,0.5833,0.9167,1.0,1.75,15.0,9.1,18.8,4.1
0.006314828,190.5,92.6,31.0,0.685,38.7,0.336,36.0,0.324,45.73,0.5,11.0,0.1803,3.0,0.6,19.1,0.592501,3.7,1.0,-0.740355,2.18092,-2.13202,3.02697,1.4516,1.2581,0.4194,2.8387,11.2,11.4,17.0,2.8
0.0056155184,205.7,83.2,31.0,0.728,31.8,0.535,37.0,0.33,55.62,0.6736,39.0,0.3171,10.0,0.8333,30.9,3.16513,3.9,0.57426107,0.361202,1.5543,3.0163,1.07544,1.871,1.0,1.4516,4.9655,22.2,15.6,19.9,1.9
0.005282948,198.1,94.4,25.0,0.806,43.5,0.444,4.0,0.211,50.05,0.5054,13.0,0.3095,3.0,1.0,20.1,0.932997,3.5,0.7704918,-0.406227,1.95562,-0.963406,1.46123,1.88,0.88,1.6,2.64,11.7,12.6,27.6,2.0
0.005117491,213.4,55.7,30.0,0.531,64.0,0.74,0.0,0.0,69.79,0.7551,0.0,0.0,29.0,0.7838,12.5,0.662394,5.0,0.2,-2.81875,3.66021,-1.4249,2.76123,0.1,0.0667,0.9,2.0333,19.7,1.9,21.0,0.3
0.005100312,190.5,83.8,31.0,0.667,10.4,0.43,63.0,0.434,57.55,0.5455,7.0,0.2258,1.0,1.0,21.0,2.03298,4.4,1.5833119,3.5022,0.829762,3.62172,1.83337,1.8387,0.8387,0.3226,1.871,10.8,19.1,15.5,2.4
0.0048383446,203.2,79.4,31.0,0.615,41.4,0.57,5.0,0.172,53.49,0.6311,8.0,0.32,29.0,0.8788,15.7,0.71657,4.6,0.4038154,-0.165821,1.10087,-1.41845,0.656241,0.6562,0.5938,1.75,2.5625,11.9,4.8,23.4,1.4
0.0046430184,200.7,95.4,31.0,0.63,22.0,0.51,5.0,0.263,50.8,0.7381,22.0,0.3548,9.0,1.0,17.1,0.564636,3.9,0.2399256,-0.589579,1.04516,-0.267106,1.55804,0.1935,0.3548,1.0,2.1935,15.5,2.5,18.3,1.4
0.0044291536,205.7,90.2,27.0,0.833,21.6,0.61,41.0,0.311,56.59,0.6701,7.0,0.3333,8.0,1.0,18.6,2.56112,3.3,0.67499155,2.63123,3.22572,2.39701,3.0548,1.0,1.2593,0.8889,4.7037,16.8,5.9,15.0,2.4
0.0040098173,195.6,88.4,26.0,0.804,55.2,0.532,36.0,0.313,56.78,0.6154,10.0,0.3704,0.0,1.0,18.8,2.04261,3.3,1.0178754,1.66335,1.22817,0.499933,1.70022,2.1923,0.7692,0.8462,2.9615,9.7,14.4,21.3,1.4
0.003960453,213.4,84.6,27.0,0.658,52.1,0.699,0.0,0.0,69.74,0.7963,8.0,0.4211,24.0,0.9231,19.7,1.55406,5.9,0.47061625,4.51987,1.50182,2.35971,2.06394,0.2963,0.3333,1.1481,1.2593,14.2,5.9,17.9,1.9
0.0039445525,195.6,96.8,16.0,1.0,8.7,0.625,2.0,0.133,37.58,0.8333,0.0,0.0,1.0,0.5,14.9,-0.0566313,6.4,2.5,-1.25942,-0.279805,-5.78725,0.52886,0.3125,0.1875,0.0625,0.3125,6.4,10.3,9.2,2.0
0.0032607398,193.0,86.8,28.0,0.822,36.5,0.502,25.0,0.347,56.0,0.5873,29.0,0.3766,19.0,0.95,24.5,3.14056,4.1,0.71999776,3.28398,-0.447114,4.00822,0.416903,1.2857,0.75,1.5714,2.5357,11.3,11.5,16.3,1.7
0.0031614227,198.1,82.0,29.0,0.829,52.5,0.515,9.0,0.257,56.83,0.61,24.0,0.3692,17.0,0.8947,21.2,2.43331,3.9,0.7837605,1.37029,2.04416,1.7265,2.41608,1.0,0.8966,1.069,3.069,15.4,8.9,15.0,2.2
0.0023631407,200.7,87.8,31.0,0.727,45.4,0.592,7.0,0.333,60.64,0.6481,10.0,0.4545,11.0,0.8462,15.0,1.81263,6.1,1.7272087,3.48774,3.09896,1.14524,3.20845,1.2258,0.3226,1.2258,2.4839,15.6,13.3,17.1,1.2
0.0022519373,210.8,65.4,30.0,0.619,37.1,0.639,0.0,0.0,63.77,0.7529,44.0,0.5238,21.0,0.8077,15.9,1.66696,4.0,0.56,-0.617764,5.14477,-0.143804,2.19748,0.875,0.5312,1.8125,4.2812,18.0,6.9,21.2,1.1
0.0020893705,210.8,87.2,10.0,0.515,24.8,0.658,13.0,0.217,51.12,0.6939,14.0,0.5833,5.0,1.0,26.9,1.45139,3.0,0.91304344,-0.420684,0.817212,1.09784,0.134433,2.1,0.9,1.5,4.9655,22.5,15.6,15.7,1.7
0.0020439755,200.7,87.6,31.0,0.607,25.5,0.449,26.0,0.356,49.47,0.5263,16.0,0.3077,15.0,0.8824,15.4,0.902424,3.9,1.0192001,0.470543,2.9724,-0.209813,2.52502,1.6562,1.3125,1.625,3.25,11.8,10.1,20.0,2.4
0.0020154142,185.4,78.2,31.0,0.891,33.0,0.47,62.0,0.408,58.92,0.6042,27.0,0.3176,4.0,1.0,24.3,3.43069,2.5,1.2072811,2.98222,2.19233,2.69189,2.45945,3.1935,1.3871,0.3548,4.129,14.4,20.3,19.4,2.5
0.0017144693,208.3,42.2,29.0,0.714,53.2,0.545,12.0,0.24,55.72,0.7143,39.0,0.3824,9.0,0.8182,24.4,2.76576,3.2,0.85457915,1.78999,2.04099,2.58647,1.26671,1.5667,0.8333,2.1333,4.5,19.0,13.3,16.3,1.8
0.0016706381,198.1,55.7,30.0,0.606,65.9,0.642,13.0,0.448,64.45,0.7063,14.0,0.3889,9.0,0.9,18.0,2.742,2.9,1.0204414,3.2618,1.90231,3.10183,1.59596,1.5625,1.2812,2.25,4.1875,15.4,10.4,16.3,2.4
0.0016599456,200.7,96.4,31.0,0.69,25.2,0.511,9.0,0.333,53.19,0.6765,21.0,0.4118,9.0,0.9,17.6,0.605289,4.1,0.5142605,0.125512,2.0012,-1.20572,1.48701,0.5806,0.3226,0.871,1.6129,11.4,7.0,24.7,1.2
0.0015316411,203.2,81.0,31.0,0.65,37.0,0.514,1.0,1.0,54.72,0.6515,12.0,0.2927,10.0,0.9091,14.3,1.61731,3.7,1.6399256,2.11151,2.71966,1.63568,2.3206,1.3226,0.6774,1.2903,2.6129,15.6,11.8,17.6,2.1
0.0014387654,203.2,90.6,15.0,0.571,53.8,0.628,1.0,0.111,55.9,0.6216,6.0,0.4615,6.0,0.8571,17.9,1.35846,4.1,1.916625,3.99518,5.3157,2.26854,4.72251,1.5333,1.2,1.0,2.0667,15.0,15.5,16.5,4.5
0.0014230195,203.2,55.7,29.0,0.483,43.9,0.601,0.0,0.0,58.5,0.6712,21.0,0.4038,30.0,0.9714,22.4,1.51967,4.1,0.36360538,-1.13794,-1.2694,0.874524,-1.1932,0.5333,0.5333,2.4333,3.9667,19.7,5.8,17.1,1.4
0.0013524359,182.9,19.6,31.0,0.816,33.4,0.516,44.0,0.379,58.0,0.5696,54.0,0.4779,0.0,0.0,21.8,3.36748,1.7,2.0281231,3.25259,-1.62959,3.05287,-0.725921,4.18717,0.8125,0.4062,2.6875,9.6,27.1,18.1,1.5
0.0013143778,193.0,85.6,5.0,0.875,36.4,0.6,3.0,0.429,65.89,0.7143,4.0,0.5,0.0,1.0,20.2,2.37853,3.9,1.5,7.16456,-0.618812,6.41332,4.62185,0.6,0.8,0.6,0.4,3.6,11.0,9.2,3.7
0.0012876041,198.1,82.6,30.0,0.768,33.7,0.516,25.0,0.316,54.25,0.6,26.0,0.4262,7.0,0.875,17.8,2.04459,3.7,0.9129996,3.01857,2.43691,1.98428,2.24932,1.3548,1.3871,1.5806,3.2258,14.3,10.4,18.6,3.0
0.0012700913,195.6,83.6,27.0,0.6,27.8,0.545,5.0,0.217,52.45,0.5844,21.0,0.4773,9.0,0.8182,27.7,1.69342,4.3,1.4705913,3.05618,3.5605,3.32513,2.73902,2.7778,0.6667,1.0741,1.7407,11.9,36.0,25.4,2.5
0.0012665663,203.2,55.7,29.0,0.625,38.5,0.547,11.0,0.407,57.11,0.6204,14.0,0.3182,10.0,0.9091,23.3,2.58381,5.1,0.88679457,2.59156,2.74687,2.12273,0.838808,1.5667,0.5333,2.5667,3.3,16.6,14.0,17.5,1.3
0.001235981,188.0,92.4,27.0,0.8,12.6,0.5,34.0,0.281,48.17,0.5714,35.0,0.4605,0.0,1.0,22.1,1.39338,2.9,1.1842405,0.424145,-0.277909,-0.632408,0.428808,1.6667,0.4815,0.1481,2.1852,9.9,14.2,16.6,1.2
0.0011726605,198.1,91.8,28.0,0.55,46.0,0.661,10.0,0.357,61.32,0.7111,7.0,0.5,11.0,1.0,22.1,0.856218,6.2,0.44829586,0.282348,-0.192335,-1.30652,0.197456,0.4643,0.3929,0.3214,0.9286,9.7,8.1,25.5,2.1
0.0011394167,210.8,88.0,19.0,0.6,71.4,0.632,1.0,0.5,64.0,0.625,2.0,0.6667,2.0,1.0,20.4,0.40266,6.7,0.4286102,1.16259,1.46185,-0.817805,1.32173,0.1579,0.1053,0.3684,0.5789,14.1,5.6,22.3,1.3
0.0011350337,190.5,23.2,31.0,0.718,31.3,0.513,0.0,0.0,53.53,0.6531,56.0,0.4274,2.0,1.0,25.7,2.4342,3.9,0.90910184,-0.0974415,-3.06539,0.409079,-2.50071,1.5152,0.9697,1.4242,2.5758,9.5,10.6,12.5,1.7
0.0011278882,185.4,54.0,29.0,0.738,38.6,0.47,47.0,0.373,55.21,0.58,13.0,0.2549,1.0,1.0,22.1,2.37353,1.4,1.5185006,1.73913,1.6664,2.30505,1.81798,2.8276,1.5517,0.5517,4.6552,18.0,19.6,15.6,2.9
0.0011183764,193.0,89.2,31.0,0.741,25.7,0.486,14.0,0.219,47.53,0.5437,15.0,0.3488,7.0,0.7778,26.0,0.835309,3.1,1.0289782,-1.62495,-0.362267,-1.62485,-0.685886,2.2903,0.6774,0.3548,1.9032,10.7,23.6,25.1,2.0
0.0010810966,205.7,90.0,17.0,0.375,34.8,0.706,1.0,0.167,55.97,0.8462,1.0,0.25,8.0,1.0,17.5,-0.13921,7.2,0.16659583,-4.06383,2.29979,-6.73625,2.28132,0.1176,0.0588,0.2941,1.1176,18.2,3.5,35.5,0.5
0.0010602222,198.1,50.6,33.0,0.777,28.4,0.506,33.0,0.262,50.86,0.6294,30.0,0.3191,24.0,0.8,20.1,3.1314,2.8,0.6667,1.77018,1.09976,2.65157,0.756363,0.6667,1.0909,2.2121,4.8182,17.5,4.8,9.3,2.0
0.0010546629,198.1,55.7,31.0,0.821,30.2,0.519,52.0,0.388,58.59,0.6053,25.0,0.3731,5.0,1.0,21.9,3.08946,1.7,1.2344,2.21091,1.85417,3.18064,0.991125,2.4688,0.9062,1.0,4.2188,15.1,18.0,16.3,1.7
0.001051943,208.3,55.7,31.0,0.606,55.9,0.603,2.0,0.167,59.73,0.6561,20.0,0.4255,14.0,0.8235,28.7,2.03866,4.9,0.22223334,-0.974727,-1.84786,-1.03226,-2.33886,0.6667,0.5455,2.64691,3.4242,16.0,7.2,25.6,1.4
0.00095098227,200.7,55.7,32.0,0.567,99.0,0.812,0.0,0.0,72.22,0.8736,6.0,0.4286,30.0,0.9722,12.7,2.0958,5.4,1.0,1.94526,0.665294,0.606021,0.885503,0.5588,0.5294,1.7353,2.0882,11.0,4.0,11.8,1.4
0.00093530427,210.8,73.2,32.0,0.632,47.5,0.583,0.0,0.0,59.83,0.6897,30.0,0.4839,19.0,0.95,17.8,1.44339,6.5,0.42313847,0.632425,2.51651,1.08938,1.7195,0.3438,0.25,1.4375,2.875,21.2,4.6,17.4,1.0
0.00091909466,182.9,77.4,28.0,0.863,37.1,0.426,49.0,0.38,57.84,0.5758,10.0,0.2857,0.0,1.0,19.1,2.20892,3.5,1.6184283,1.90542,0.295335,0.137347,0.915721,4.18717,1.4643,0.1786,2.75,9.9,26.8,26.8,2.8
0.0008921904,208.3,89.0,14.0,0.375,100.0,0.625,0.0,0.0,55.08,0.8,1.0,0.3333,3.0,1.0,13.5,-0.153015,7.9,0.0,-5.58906,-0.0936573,-6.18777,1.31629,0.0,0.0,0.1429,1.0714,26.8,0.0,28.9,0.0
0.00084426295,190.5,55.7,31.0,0.797,36.5,0.431,59.0,0.393,53.83,0.6019,56.0,0.3333,2.0,1.0,26.2,2.90011,2.5,0.8625113,1.10569,-2.501,2.05668,-2.07059,2.0909,0.9394,0.8182,2.4242,8.7,12.5,16.4,1.4
0.0008314636,208.3,55.7,31.0,0.529,47.7,0.454,2.0,0.2,46.1,0.6471,11.0,0.2391,20.0,0.8,16.5,0.308527,4.5,0.78258526,-1.9288,3.5562,-1.49224,1.3991,0.5806,0.5484,1.9677,2.6774,19.0,8.0,16.2,2.0
0.00079971855,185.4,90.8,31.0,0.7,28.7,0.383,35.0,0.343,48.21,0.4861,6.0,0.1714,0.0,1.0,16.0,0.823265,1.7,1.4634054,0.568316,1.03852,-1.36841,1.68653,1.9355,1.129,0.1935,1.5806,5.7,12.9,16.7,2.3
